"gutenberg_id","medium","language","title","sort_title","audience","subjects__audience","subjects__identifier","subjects__type","authors__family_name","authors__viaf","authors__display_name","authors__lc","authors__sort_name","authors__wikipedia_name","quality","work_id","subjects__name","fiction","subjects__fiction"
"1","Book","en","The Declaration of Independence of the United States of America","Declaration of Independence of the United States of America, The","Adult","Adult","Politics","gutenberg:bookshelf","Jefferson","41866059","Thomas Jefferson","n79089957","Jefferson, Thomas","Thomas_Jefferson","0.485","b2899503-29e2-1e02-a0e3-1a6de23dafe3","","",""
"","","","","","","Adult","American Revolutionary War","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Adult","United States Law","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","","United States -- History -- Revolution, 1775-1783 -- Sources","LCSH","","","","","","","","","","",""
"","","","","","","Adult","JK","LCC","","","","","","","","","Political institutions and public administration","",""
"","","","","","","","United States. Declaration of Independence","LCSH","","","","","","","","","United States. Declaration of Independence","",""
"","","","","","","Adult","E201","LCC","","","","","","","","","","",""
"2","Book","en","The United States Bill of Rights","United States Bill of Rights, The","Adult","Adult","Politics","gutenberg:bookshelf","United States","140618185","United States","n78095330","United States","","","ca0a159b-ec9f-6d2e-e942-542bce45e4da","","",""
"","","","","","","Adult","Greece","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Adult","American Revolutionary War","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","Adult","United States Law","gutenberg:bookshelf","","","","","","","","","","",""
"","","","","","","","United States. Constitution. 1st-10th Amendments","LCSH","","","","","","","","","United States. Constitution. 1st-10th Amendments","",""
"","","","","","","","Civil rights -- United States -- Sources","LCSH","","","","","","","","","","",""
"","","","","","","Adult","KF","LCC","","","","","","","","","Law of the United States","",""
"","","","","","","Adult","JK","LCC","","","","","","","","","Political institutions and public administration","",""
"3","Book","en","John F. Kennedy's Inaugural Address","John F. Kennedy's Inaugural Address","Adult","","Presidents -- United States -- Inaugural addresses","LCSH","Kennedy","68910251","John F. Kennedy","n79055297","Kennedy, John F. (John Fitzgerald)","John_F._Kennedy","0.49","10818b7e-626f-71e0-79b0-eb5dc6a01965","","",""
"","","","","","","","United States -- Foreign relations -- 1961-1963","LCSH","","","","","","","","","","",""
"","","","","","","Adult","E838","LCC","","","","","","","","","","",""
"4","Book","en","Lincoln's Gettysburg Address","Lincoln's Gettysburg Address","Adult","Adult","US Civil War","gutenberg:bookshelf","","76349832","Abraham Lincoln","n79006779","Lincoln, Abraham","","0.85","2e80f371-0b53-3a43-2d22-b2da6e1a4f85","","",""
"","","","","","","","Soldiers' National Cemetery (Gettysburg, Pa.)","LCSH","","","","","","","","","Soldiers' National Cemetery (Gettysburg, Pa.)","",""
